Id,ParentCountryDivisionId,Name,Code,DivisionType
1,,ایران,ir,0
2,1,مرکزی,00,1
3,1,گیلان,01,1
4,1,مازندران,02,1
5,1,آذربایجان شرقی,03,1
6,1,آذربایجان غربی,04,1
7,1,کرمانشاه,05,1
8,1,خوزستان,06,1
9,1,فارس,07,1
10,1,کرمان,08,1
11,1,خراسان رضوی,09,1
12,1,اصفهان,10,1
13,1,سیستان و بلوچستان,11,1
14,1,کردستان,12,1
15,1,همدان,13,1
16,1,چهارمحال و بختیاری,14,1
17,1,لرستان,15,1
18,1,ایلام,16,1
19,1,کهگیلویه و بویراحمد,17,1
20,1,بوشهر,18,1
21,1,زنجان,19,1
22,1,سمنان,20,1
23,1,یزد,21,1
24,1,هرمزگان,22,1
25,1,تهران,23,1
26,1,اردبیل,24,1
27,1,قم,25,1
28,1,قزوین,26,1
29,1,گلستان,27,1
30,1,خراسان شمالی,28,1
31,1,خراسان جنوبی,29,1
32,1,البرز,30,1
33,2,اراک,01,2
34,2,آشتیان,02,2
35,2,تفرش,03,2
36,2,خمین,04,2
37,2,دلیجان,05,2
38,2,ساوه,06,2
39,2,شازند,07,2
40,2,محلات,09,2
41,2,زرندیه,10,2
42,2,کمیجان,11,2
43,2,خنداب,12,2
44,2,فراهان,13,2
45,3,آستارا,01,2
46,3,آستانه اشرفیه,02,2
47,3,بندرانزلی,03,2
48,3,طوالش,04,2
49,3,رشت,05,2
50,3,رودبار,06,2
51,3,رودسر,07,2
52,3,صومعه سرا,08,2
53,3,فومن,09,2
54,3,لنگرود,10,2
55,3,لاهیجان,11,2
56,3,شفت,12,2
57,3,املش,13,2
58,3,رضوانشهر,14,2
59,3,سیاهکل,15,2
60,3,ماسال,16,2
61,3,خمام,17,2
62,4,آمل,01,2
63,4,بابل,02,2
64,4,بهشهر,04,2
65,4,تنکابن,05,2
66,4,رامسر,06,2
67,4,ساری,07,2
68,4,سوادکوه,08,2
69,4,قایم شهر,10,2
70,4,نور,14,2
71,4,نوشهر,15,2
72,4,بابلسر,16,2
73,4,محمودآباد,18,2
74,4,نکا,19,2
75,4,چالوس,20,2
76,4,جویبار,21,2
77,4,گلوگاه,22,2
78,4,فریدونکنار,23,2
79,4,عباس آباد,24,2
80,4,میاندورود,25,2
81,4,سیمرغ,26,2
82,4,سوادکوه شمالی,27,2
83,4,کلاردشت,28,2
84,5,اهر,02,2
85,5,تبریز,03,2
86,5,سراب,05,2
87,5,مراغه,06,2
88,5,مرند,07,2
89,5,میانه,10,2
90,5,هشترود,11,2
91,5,بناب,12,2
92,5,بستان آباد,13,2
93,5,شبستر,14,2
94,5,کلیبر,15,2
95,5,هریس,16,2
96,5,جلفا,19,2
97,5,ملکان,20,2
98,5,آذرشهر,21,2
99,5,اسکو,22,2
100,5,چاراویماق,23,2
101,5,ورزقان,24,2
102,5,عجب شیر,25,2
103,5,خدا آفرین,26,2
